consultante_provincia,ym,total,positivos,tasa
buenos aires,2020-01-01,13,5,0.38461538461538464
buenos aires,2020-02-01,13,8,0.6153846153846154
buenos aires,2020-03-01,20,12,0.6
buenos aires,2020-04-01,15,12,0.8
buenos aires,2020-05-01,12,10,0.8333333333333334
buenos aires,2020-06-01,12,6,0.5
buenos aires,2020-07-01,9,7,0.7777777777777778
buenos aires,2020-08-01,8,4,0.5
buenos aires,2020-09-01,12,6,0.5
buenos aires,2020-10-01,10,8,0.8
buenos aires,2020-11-01,9,6,0.6666666666666666
buenos aires,2020-12-01,7,2,0.2857142857142857
buenos aires,2021-01-01,6,6,1.0
buenos aires,2021-02-01,7,5,0.7142857142857143
buenos aires,2021-03-01,13,11,0.8461538461538461
buenos aires,2021-04-01,2,2,1.0
buenos aires,2021-05-01,6,6,1.0
buenos aires,2021-06-01,2,1,0.5
buenos aires,2021-07-01,8,6,0.75
buenos aires,2021-08-01,1,1,1.0
buenos aires,2021-09-01,8,7,0.875
buenos aires,2021-10-01,8,4,0.5
buenos aires,2021-11-01,10,10,1.0
buenos aires,2021-12-01,5,5,1.0
buenos aires,2022-01-01,5,3,0.6
buenos aires,2022-02-01,18,8,0.4444444444444444
buenos aires,2022-03-01,11,7,0.6363636363636364
buenos aires,2022-04-01,11,10,0.9090909090909091
buenos aires,2022-05-01,16,7,0.4375
buenos aires,2022-06-01,13,9,0.6923076923076923
buenos aires,2022-07-01,11,6,0.5454545454545454
buenos aires,2022-08-01,11,9,0.8181818181818182
buenos aires,2022-09-01,15,5,0.3333333333333333
buenos aires,2022-10-01,14,7,0.5
buenos aires,2022-11-01,11,8,0.7272727272727273
buenos aires,2022-12-01,16,8,0.5
buenos aires,2023-01-01,14,8,0.5714285714285714
buenos aires,2023-02-01,7,3,0.42857142857142855
buenos aires,2023-03-01,15,11,0.7333333333333333
buenos aires,2023-04-01,18,9,0.5
buenos aires,2023-05-01,10,6,0.6
buenos aires,2023-06-01,21,9,0.42857142857142855
buenos aires,2023-07-01,21,11,0.5238095238095238
buenos aires,2023-08-01,11,6,0.5454545454545454
buenos aires,2023-09-01,13,5,0.38461538461538464
buenos aires,2023-10-01,6,4,0.6666666666666666
buenos aires,2023-11-01,13,6,0.46153846153846156
buenos aires,2023-12-01,16,8,0.5
buenos aires,2024-01-01,12,6,0.5
buenos aires,2024-02-01,21,13,0.6190476190476191
buenos aires,2024-03-01,13,8,0.6153846153846154
buenos aires,2024-04-01,7,5,0.7142857142857143
buenos aires,2024-05-01,16,6,0.375
buenos aires,2024-06-01,14,9,0.6428571428571429
buenos aires,2024-07-01,12,5,0.4166666666666667
buenos aires,2024-08-01,17,9,0.5294117647058824
buenos aires,2024-09-01,14,5,0.35714285714285715
buenos aires,2024-10-01,16,10,0.625
buenos aires,2024-11-01,20,8,0.4
buenos aires,2024-12-01,17,11,0.6470588235294118
chaco,2021-02-01,1,1,1.0
chaco,2021-06-01,1,1,1.0
chaco,2021-07-01,1,1,1.0
chaco,2021-08-01,3,3,1.0
chaco,2021-09-01,1,1,1.0
chaco,2022-01-01,2,1,0.5
chaco,2022-05-01,1,0,0.0
chaco,2022-07-01,1,0,0.0
chaco,2022-08-01,2,1,0.5
chaco,2022-10-01,2,1,0.5
chaco,2022-12-01,2,1,0.5
chaco,2023-02-01,2,2,1.0
chaco,2023-03-01,2,2,1.0
chaco,2023-06-01,2,1,0.5
chaco,2023-08-01,3,1,0.3333333333333333
chaco,2023-09-01,1,1,1.0
chaco,2023-10-01,1,1,1.0
chaco,2023-11-01,2,2,1.0
chaco,2023-12-01,1,1,1.0
chaco,2024-01-01,4,3,0.75
chaco,2024-02-01,1,1,1.0
chaco,2024-03-01,2,1,0.5
chaco,2024-04-01,1,0,0.0
chaco,2024-06-01,1,0,0.0
chaco,2024-07-01,5,4,0.8
chaco,2024-08-01,2,1,0.5
chaco,2024-09-01,2,0,0.0
chaco,2024-11-01,2,1,0.5
chaco,2024-12-01,1,0,0.0
ciudad autnoma de buenos aires,2020-01-01,2,2,1.0
ciudad autnoma de buenos aires,2020-03-01,1,0,0.0
ciudad autnoma de buenos aires,2020-04-01,2,0,0.0
ciudad autnoma de buenos aires,2020-05-01,2,1,0.5
ciudad autnoma de buenos aires,2020-08-01,1,0,0.0
ciudad autnoma de buenos aires,2020-09-01,1,1,1.0
ciudad autnoma de buenos aires,2020-11-01,1,1,1.0
ciudad autnoma de buenos aires,2021-01-01,1,0,0.0
ciudad autnoma de buenos aires,2021-04-01,1,1,1.0
ciudad autnoma de buenos aires,2021-06-01,2,2,1.0
ciudad autnoma de buenos aires,2021-08-01,3,1,0.3333333333333333
ciudad autnoma de buenos aires,2021-09-01,2,2,1.0
ciudad autnoma de buenos aires,2021-12-01,2,0,0.0
ciudad autnoma de buenos aires,2022-01-01,8,5,0.625
ciudad autnoma de buenos aires,2022-02-01,6,3,0.5
ciudad autnoma de buenos aires,2022-03-01,6,5,0.8333333333333334
ciudad autnoma de buenos aires,2022-04-01,8,5,0.625
ciudad autnoma de buenos aires,2022-05-01,3,3,1.0
ciudad autnoma de buenos aires,2022-06-01,11,7,0.6363636363636364
ciudad autnoma de buenos aires,2022-07-01,4,3,0.75
ciudad autnoma de buenos aires,2022-08-01,6,4,0.6666666666666666
ciudad autnoma de buenos aires,2022-09-01,7,4,0.5714285714285714
ciudad autnoma de buenos aires,2022-10-01,9,2,0.2222222222222222
ciudad autnoma de buenos aires,2022-11-01,7,2,0.2857142857142857
ciudad autnoma de buenos aires,2022-12-01,7,3,0.42857142857142855
ciudad autnoma de buenos aires,2023-01-01,3,2,0.6666666666666666
ciudad autnoma de buenos aires,2023-02-01,8,1,0.125
ciudad autnoma de buenos aires,2023-03-01,7,6,0.8571428571428571
ciudad autnoma de buenos aires,2023-04-01,7,6,0.8571428571428571
ciudad autnoma de buenos aires,2023-05-01,5,2,0.4
ciudad autnoma de buenos aires,2023-06-01,8,5,0.625
ciudad autnoma de buenos aires,2023-07-01,6,3,0.5
ciudad autnoma de buenos aires,2023-08-01,15,7,0.4666666666666667
ciudad autnoma de buenos aires,2023-09-01,10,6,0.6
ciudad autnoma de buenos aires,2023-10-01,5,4,0.8
ciudad autnoma de buenos aires,2023-11-01,6,5,0.8333333333333334
ciudad autnoma de buenos aires,2023-12-01,9,4,0.4444444444444444
ciudad autnoma de buenos aires,2024-01-01,2,1,0.5
ciudad autnoma de buenos aires,2024-02-01,5,3,0.6
ciudad autnoma de buenos aires,2024-03-01,9,5,0.5555555555555556
ciudad autnoma de buenos aires,2024-04-01,15,8,0.5333333333333333
ciudad autnoma de buenos aires,2024-05-01,11,5,0.45454545454545453
ciudad autnoma de buenos aires,2024-06-01,5,0,0.0
ciudad autnoma de buenos aires,2024-07-01,9,7,0.7777777777777778
ciudad autnoma de buenos aires,2024-08-01,9,6,0.6666666666666666
ciudad autnoma de buenos aires,2024-09-01,11,5,0.45454545454545453
ciudad autnoma de buenos aires,2024-10-01,6,3,0.5
ciudad autnoma de buenos aires,2024-11-01,17,10,0.5882352941176471
ciudad autnoma de buenos aires,2024-12-01,17,9,0.5294117647058824
corrientes,2020-05-01,1,1,1.0
corrientes,2020-09-01,1,0,0.0
corrientes,2020-10-01,1,1,1.0
corrientes,2022-04-01,1,1,1.0
corrientes,2022-05-01,1,1,1.0
corrientes,2022-08-01,1,0,0.0
corrientes,2022-10-01,1,0,0.0
corrientes,2022-12-01,1,1,1.0
corrientes,2023-03-01,1,0,0.0
corrientes,2023-04-01,1,0,0.0
corrientes,2023-05-01,1,0,0.0
corrientes,2023-08-01,2,1,0.5
corrientes,2023-09-01,3,1,0.3333333333333333
corrientes,2023-10-01,1,1,1.0
corrientes,2024-01-01,1,1,1.0
corrientes,2024-02-01,5,3,0.6
corrientes,2024-03-01,1,1,1.0
corrientes,2024-04-01,1,1,1.0
corrientes,2024-05-01,1,1,1.0
corrientes,2024-06-01,1,0,0.0
corrientes,2024-08-01,1,1,1.0
corrientes,2024-09-01,2,1,0.5
corrientes,2024-10-01,1,1,1.0
corrientes,2024-11-01,1,1,1.0
corrientes,2024-12-01,1,1,1.0
crdoba,2020-01-01,2,0,0.0
crdoba,2020-02-01,2,1,0.5
crdoba,2020-03-01,2,1,0.5
crdoba,2020-04-01,4,2,0.5
crdoba,2020-05-01,1,0,0.0
crdoba,2020-07-01,1,1,1.0
crdoba,2020-08-01,2,1,0.5
crdoba,2020-11-01,2,1,0.5
crdoba,2021-06-01,1,1,1.0
crdoba,2021-09-01,1,0,0.0
crdoba,2022-01-01,2,2,1.0
crdoba,2022-02-01,1,1,1.0
crdoba,2022-03-01,2,2,1.0
crdoba,2022-04-01,1,0,0.0
crdoba,2022-05-01,1,0,0.0
crdoba,2022-06-01,1,1,1.0
crdoba,2022-07-01,4,3,0.75
crdoba,2022-08-01,1,1,1.0
crdoba,2022-09-01,2,1,0.5
crdoba,2022-10-01,3,0,0.0
crdoba,2022-11-01,2,1,0.5
crdoba,2022-12-01,5,2,0.4
crdoba,2023-02-01,4,2,0.5
crdoba,2023-04-01,2,1,0.5
crdoba,2023-05-01,2,0,0.0
crdoba,2023-06-01,4,3,0.75
crdoba,2023-07-01,5,4,0.8
crdoba,2023-08-01,3,2,0.6666666666666666
crdoba,2023-09-01,5,3,0.6
crdoba,2023-10-01,2,1,0.5
crdoba,2023-12-01,4,1,0.25
crdoba,2024-01-01,2,1,0.5
crdoba,2024-02-01,6,2,0.3333333333333333
crdoba,2024-03-01,1,1,1.0
crdoba,2024-04-01,2,1,0.5
crdoba,2024-07-01,4,2,0.5
crdoba,2024-08-01,4,1,0.25
crdoba,2024-09-01,2,2,1.0
crdoba,2024-10-01,5,5,1.0
crdoba,2024-11-01,2,1,0.5
crdoba,2024-12-01,5,5,1.0
entre ros,2020-02-01,1,0,0.0
entre ros,2020-04-01,1,1,1.0
entre ros,2020-05-01,1,1,1.0
entre ros,2020-06-01,1,0,0.0
entre ros,2020-07-01,2,1,0.5
entre ros,2020-08-01,1,1,1.0
entre ros,2020-10-01,1,1,1.0
entre ros,2021-11-01,1,1,1.0
entre ros,2022-02-01,1,0,0.0
entre ros,2022-03-01,1,0,0.0
entre ros,2022-04-01,1,1,1.0
entre ros,2022-06-01,1,1,1.0
entre ros,2022-08-01,1,1,1.0
entre ros,2022-10-01,1,0,0.0
entre ros,2023-01-01,2,2,1.0
entre ros,2023-02-01,1,0,0.0
entre ros,2023-06-01,2,1,0.5
entre ros,2023-10-01,1,0,0.0
entre ros,2023-11-01,1,1,1.0
entre ros,2023-12-01,1,0,0.0
entre ros,2024-02-01,3,2,0.6666666666666666
entre ros,2024-03-01,4,2,0.5
entre ros,2024-04-01,1,1,1.0
entre ros,2024-05-01,2,2,1.0
entre ros,2024-06-01,2,1,0.5
entre ros,2024-07-01,1,0,0.0
entre ros,2024-09-01,2,0,0.0
jujuy,2020-02-01,3,2,0.6666666666666666
jujuy,2020-04-01,1,0,0.0
jujuy,2020-06-01,1,0,0.0
jujuy,2020-08-01,1,1,1.0
jujuy,2020-09-01,2,1,0.5
jujuy,2020-10-01,1,1,1.0
jujuy,2021-01-01,1,0,0.0
jujuy,2021-09-01,1,1,1.0
jujuy,2022-02-01,2,1,0.5
jujuy,2022-05-01,2,2,1.0
jujuy,2023-01-01,1,1,1.0
jujuy,2023-02-01,1,0,0.0
jujuy,2023-03-01,2,1,0.5
jujuy,2023-04-01,1,0,0.0
jujuy,2023-08-01,2,2,1.0
jujuy,2023-10-01,1,1,1.0
jujuy,2024-01-01,1,0,0.0
jujuy,2024-06-01,1,1,1.0
jujuy,2024-09-01,4,2,0.5
mendoza,2020-02-01,2,1,0.5
mendoza,2020-03-01,1,1,1.0
mendoza,2020-05-01,1,0,0.0
mendoza,2020-07-01,1,1,1.0
mendoza,2020-08-01,2,0,0.0
mendoza,2020-09-01,1,1,1.0
mendoza,2020-10-01,1,1,1.0
mendoza,2021-02-01,1,1,1.0
mendoza,2021-03-01,1,1,1.0
mendoza,2021-04-01,2,2,1.0
mendoza,2021-05-01,2,2,1.0
mendoza,2021-07-01,1,1,1.0
mendoza,2021-11-01,2,2,1.0
mendoza,2022-01-01,2,1,0.5
mendoza,2022-02-01,1,1,1.0
mendoza,2022-03-01,1,0,0.0
mendoza,2022-04-01,3,3,1.0
mendoza,2022-05-01,2,2,1.0
mendoza,2022-06-01,1,1,1.0
mendoza,2022-08-01,2,2,1.0
mendoza,2022-12-01,1,1,1.0
mendoza,2023-01-01,5,4,0.8
mendoza,2023-02-01,2,0,0.0
mendoza,2023-04-01,1,0,0.0
mendoza,2023-05-01,3,2,0.6666666666666666
mendoza,2023-06-01,1,0,0.0
mendoza,2023-07-01,2,1,0.5
mendoza,2023-08-01,1,0,0.0
mendoza,2023-09-01,1,1,1.0
mendoza,2023-10-01,3,3,1.0
mendoza,2023-11-01,3,2,0.6666666666666666
mendoza,2024-01-01,2,1,0.5
mendoza,2024-02-01,6,4,0.6666666666666666
mendoza,2024-03-01,3,3,1.0
mendoza,2024-04-01,1,1,1.0
mendoza,2024-05-01,1,0,0.0
mendoza,2024-06-01,2,1,0.5
mendoza,2024-08-01,3,0,0.0
mendoza,2024-09-01,4,2,0.5
mendoza,2024-10-01,1,0,0.0
mendoza,2024-11-01,3,2,0.6666666666666666
mendoza,2024-12-01,1,0,0.0
misiones,2020-01-01,1,0,0.0
misiones,2020-06-01,1,1,1.0
misiones,2020-07-01,1,0,0.0
misiones,2020-09-01,1,0,0.0
misiones,2021-01-01,1,0,0.0
misiones,2021-04-01,1,0,0.0
misiones,2021-08-01,2,1,0.5
misiones,2021-10-01,1,1,1.0
misiones,2021-11-01,1,1,1.0
misiones,2022-05-01,2,1,0.5
misiones,2022-06-01,1,1,1.0
misiones,2022-09-01,2,1,0.5
misiones,2022-10-01,1,1,1.0
misiones,2023-02-01,1,0,0.0
misiones,2023-05-01,2,1,0.5
misiones,2023-06-01,3,3,1.0
misiones,2023-07-01,1,0,0.0
misiones,2023-08-01,3,2,0.6666666666666666
misiones,2023-10-01,1,1,1.0
misiones,2024-02-01,1,0,0.0
misiones,2024-03-01,2,2,1.0
misiones,2024-04-01,2,1,0.5
misiones,2024-05-01,1,1,1.0
misiones,2024-06-01,1,0,0.0
misiones,2024-09-01,2,1,0.5
misiones,2024-12-01,1,1,1.0
neuqun,2020-04-01,1,0,0.0
neuqun,2020-09-01,1,1,1.0
neuqun,2021-02-01,1,1,1.0
neuqun,2021-03-01,1,1,1.0
neuqun,2021-04-01,1,1,1.0
neuqun,2021-06-01,1,1,1.0
neuqun,2022-02-01,1,0,0.0
neuqun,2022-03-01,1,1,1.0
neuqun,2022-04-01,1,0,0.0
neuqun,2022-05-01,1,1,1.0
neuqun,2022-06-01,1,1,1.0
neuqun,2022-07-01,1,1,1.0
neuqun,2022-08-01,1,0,0.0
neuqun,2022-10-01,2,1,0.5
neuqun,2022-11-01,1,1,1.0
neuqun,2022-12-01,1,1,1.0
neuqun,2023-01-01,2,2,1.0
neuqun,2023-02-01,1,1,1.0
neuqun,2023-03-01,2,1,0.5
neuqun,2023-05-01,3,2,0.6666666666666666
neuqun,2023-06-01,1,1,1.0
neuqun,2023-09-01,1,0,0.0
neuqun,2024-02-01,1,1,1.0
neuqun,2024-03-01,1,0,0.0
neuqun,2024-04-01,1,0,0.0
neuqun,2024-05-01,1,0,0.0
neuqun,2024-06-01,1,1,1.0
neuqun,2024-07-01,2,1,0.5
neuqun,2024-09-01,1,0,0.0
neuqun,2024-10-01,1,1,1.0
neuqun,2024-11-01,2,0,0.0
neuqun,2024-12-01,1,0,0.0
ro negro,2020-07-01,1,0,0.0
ro negro,2020-12-01,1,0,0.0
ro negro,2022-03-01,1,1,1.0
ro negro,2022-05-01,1,1,1.0
ro negro,2022-08-01,2,0,0.0
ro negro,2022-10-01,1,0,0.0
ro negro,2023-01-01,4,1,0.25
ro negro,2023-03-01,3,1,0.3333333333333333
ro negro,2023-05-01,1,0,0.0
ro negro,2023-06-01,2,0,0.0
ro negro,2023-07-01,1,0,0.0
ro negro,2023-10-01,1,0,0.0
ro negro,2023-11-01,1,1,1.0
ro negro,2023-12-01,1,0,0.0
ro negro,2024-01-01,2,0,0.0
ro negro,2024-02-01,2,1,0.5
ro negro,2024-03-01,3,1,0.3333333333333333
ro negro,2024-04-01,3,0,0.0
ro negro,2024-05-01,2,0,0.0
ro negro,2024-07-01,3,2,0.6666666666666666
ro negro,2024-08-01,2,1,0.5
ro negro,2024-09-01,3,0,0.0
ro negro,2024-10-01,2,1,0.5
ro negro,2024-11-01,1,0,0.0
ro negro,2024-12-01,2,0,0.0
salta,2020-03-01,1,1,1.0
salta,2020-05-01,1,0,0.0
salta,2020-06-01,1,1,1.0
salta,2020-08-01,2,1,0.5
salta,2020-09-01,2,0,0.0
salta,2021-01-01,1,1,1.0
salta,2022-01-01,2,2,1.0
salta,2022-02-01,1,0,0.0
salta,2022-03-01,1,1,1.0
salta,2022-09-01,1,0,0.0
salta,2022-10-01,1,0,0.0
salta,2022-11-01,1,1,1.0
salta,2023-01-01,2,1,0.5
salta,2023-02-01,1,1,1.0
salta,2023-03-01,1,1,1.0
salta,2023-07-01,2,1,0.5
salta,2023-08-01,3,1,0.3333333333333333
salta,2023-09-01,2,0,0.0
salta,2023-12-01,2,1,0.5
salta,2024-01-01,1,1,1.0
salta,2024-02-01,2,0,0.0
salta,2024-03-01,1,1,1.0
salta,2024-05-01,4,3,0.75
salta,2024-06-01,3,0,0.0
salta,2024-07-01,2,1,0.5
salta,2024-08-01,3,2,0.6666666666666666
salta,2024-09-01,1,0,0.0
salta,2024-10-01,2,1,0.5
salta,2024-11-01,1,1,1.0
salta,2024-12-01,2,1,0.5
santa fe,2020-01-01,1,0,0.0
santa fe,2020-02-01,2,2,1.0
santa fe,2020-04-01,4,2,0.5
santa fe,2020-05-01,3,1,0.3333333333333333
santa fe,2020-07-01,2,1,0.5
santa fe,2020-09-01,3,1,0.3333333333333333
santa fe,2020-10-01,2,2,1.0
santa fe,2020-11-01,2,0,0.0
santa fe,2021-02-01,1,1,1.0
santa fe,2021-03-01,2,2,1.0
santa fe,2021-07-01,2,2,1.0
santa fe,2021-08-01,2,1,0.5
santa fe,2021-09-01,2,1,0.5
santa fe,2021-10-01,2,1,0.5
santa fe,2021-11-01,1,1,1.0
santa fe,2021-12-01,2,1,0.5
santa fe,2022-01-01,2,2,1.0
santa fe,2022-02-01,2,1,0.5
santa fe,2022-03-01,5,3,0.6
santa fe,2022-04-01,1,1,1.0
santa fe,2022-05-01,2,0,0.0
santa fe,2022-06-01,3,1,0.3333333333333333
santa fe,2022-07-01,1,1,1.0
santa fe,2022-08-01,6,3,0.5
santa fe,2022-09-01,2,1,0.5
santa fe,2022-10-01,1,0,0.0
santa fe,2022-11-01,1,1,1.0
santa fe,2022-12-01,2,1,0.5
santa fe,2023-01-01,2,1,0.5
santa fe,2023-02-01,2,2,1.0
santa fe,2023-03-01,2,1,0.5
santa fe,2023-04-01,1,0,0.0
santa fe,2023-06-01,3,2,0.6666666666666666
santa fe,2023-07-01,4,3,0.75
santa fe,2023-09-01,4,3,0.75
santa fe,2023-10-01,1,0,0.0
santa fe,2023-11-01,1,0,0.0
santa fe,2023-12-01,1,1,1.0
santa fe,2024-01-01,1,1,1.0
santa fe,2024-02-01,1,1,1.0
santa fe,2024-03-01,2,2,1.0
santa fe,2024-04-01,2,1,0.5
santa fe,2024-05-01,4,3,0.75
santa fe,2024-06-01,1,1,1.0
santa fe,2024-07-01,3,1,0.3333333333333333
santa fe,2024-08-01,5,1,0.2
santa fe,2024-09-01,2,2,1.0
santa fe,2024-10-01,1,1,1.0
santa fe,2024-11-01,4,4,1.0
santa fe,2024-12-01,3,2,0.6666666666666666
santiago del estero,2020-01-01,1,0,0.0
santiago del estero,2020-05-01,1,1,1.0
santiago del estero,2020-10-01,1,1,1.0
santiago del estero,2021-02-01,2,2,1.0
santiago del estero,2021-06-01,1,1,1.0
santiago del estero,2022-01-01,2,1,0.5
santiago del estero,2022-02-01,1,1,1.0
santiago del estero,2022-03-01,1,0,0.0
santiago del estero,2022-04-01,1,0,0.0
santiago del estero,2022-06-01,1,1,1.0
santiago del estero,2022-08-01,1,1,1.0
santiago del estero,2022-09-01,2,1,0.5
santiago del estero,2022-11-01,1,0,0.0
santiago del estero,2022-12-01,2,1,0.5
santiago del estero,2023-03-01,2,2,1.0
santiago del estero,2023-09-01,1,0,0.0
santiago del estero,2024-05-01,1,0,0.0
santiago del estero,2024-06-01,2,2,1.0
santiago del estero,2024-08-01,1,1,1.0
santiago del estero,2024-09-01,1,1,1.0
santiago del estero,2024-12-01,1,0,0.0
tucumn,2020-03-01,1,1,1.0
tucumn,2020-05-01,1,1,1.0
tucumn,2020-09-01,1,0,0.0
tucumn,2020-10-01,1,1,1.0
tucumn,2021-01-01,2,2,1.0
tucumn,2022-01-01,1,0,0.0
tucumn,2022-02-01,1,1,1.0
tucumn,2022-03-01,1,0,0.0
tucumn,2022-04-01,1,0,0.0
tucumn,2022-06-01,2,1,0.5
tucumn,2022-08-01,2,1,0.5
tucumn,2022-10-01,1,1,1.0
tucumn,2022-11-01,1,0,0.0
tucumn,2022-12-01,4,3,0.75
tucumn,2023-01-01,2,1,0.5
tucumn,2023-02-01,3,0,0.0
tucumn,2023-03-01,3,2,0.6666666666666666
tucumn,2023-04-01,1,0,0.0
tucumn,2023-05-01,1,0,0.0
tucumn,2023-06-01,1,1,1.0
tucumn,2023-07-01,4,1,0.25
tucumn,2023-08-01,4,3,0.75
tucumn,2023-09-01,1,0,0.0
tucumn,2023-10-01,4,4,1.0
tucumn,2023-11-01,6,2,0.3333333333333333
tucumn,2023-12-01,2,1,0.5
tucumn,2024-01-01,1,0,0.0
tucumn,2024-02-01,4,4,1.0
tucumn,2024-03-01,3,3,1.0
tucumn,2024-04-01,6,2,0.3333333333333333
tucumn,2024-05-01,2,0,0.0
tucumn,2024-06-01,2,1,0.5
tucumn,2024-07-01,2,1,0.5
tucumn,2024-08-01,4,1,0.25
tucumn,2024-09-01,2,0,0.0
tucumn,2024-10-01,2,0,0.0
tucumn,2024-11-01,3,1,0.3333333333333333
tucumn,2024-12-01,1,0,0.0
