consultante_provincia,anio,trimestre,trimestre_lbl,intervenciones,confirmadas,tasa
,2020,1,T1,56,19,0.3392857142857143
,2020,2,T2,80,32,0.4
,2020,3,T3,56,19,0.3392857142857143
,2020,4,T4,62,31,0.5
,2021,1,T1,116,61,0.5258620689655172
,2021,2,T2,110,52,0.4727272727272727
,2021,3,T3,122,47,0.38524590163934425
,2021,4,T4,84,39,0.4642857142857143
,2022,1,T1,26,15,0.5769230769230769
,2022,2,T2,44,16,0.36363636363636365
,2022,3,T3,31,20,0.6451612903225806
,2022,4,T4,29,9,0.3103448275862069
,2023,1,T1,68,43,0.6323529411764706
,2023,2,T2,52,29,0.5576923076923077
,2023,3,T3,48,28,0.5833333333333334
,2023,4,T4,41,27,0.6585365853658537
,2024,1,T1,50,29,0.58
,2024,2,T2,50,25,0.5
,2024,3,T3,40,18,0.45
,2024,4,T4,50,31,0.62
buenos aires,2020,1,T1,46,25,0.5434782608695652
buenos aires,2020,2,T2,39,28,0.717948717948718
buenos aires,2020,3,T3,29,17,0.5862068965517241
buenos aires,2020,4,T4,26,16,0.6153846153846154
buenos aires,2021,1,T1,26,22,0.8461538461538461
buenos aires,2021,2,T2,10,9,0.9
buenos aires,2021,3,T3,17,14,0.8235294117647058
buenos aires,2021,4,T4,23,19,0.8260869565217391
buenos aires,2022,1,T1,34,18,0.5294117647058824
buenos aires,2022,2,T2,40,26,0.65
buenos aires,2022,3,T3,37,20,0.5405405405405406
buenos aires,2022,4,T4,41,23,0.5609756097560976
buenos aires,2023,1,T1,36,22,0.6111111111111112
buenos aires,2023,2,T2,49,24,0.4897959183673469
buenos aires,2023,3,T3,45,22,0.4888888888888889
buenos aires,2023,4,T4,35,18,0.5142857142857142
buenos aires,2024,1,T1,46,27,0.5869565217391305
buenos aires,2024,2,T2,37,20,0.5405405405405406
buenos aires,2024,3,T3,43,19,0.4418604651162791
buenos aires,2024,4,T4,53,29,0.5471698113207547
catamarca,2020,1,T1,3,0,0.0
catamarca,2020,2,T2,1,0,0.0
catamarca,2020,4,T4,2,1,0.5
catamarca,2021,4,T4,1,1,1.0
catamarca,2022,1,T1,1,1,1.0
catamarca,2022,2,T2,3,1,0.3333333333333333
catamarca,2022,3,T3,2,0,0.0
catamarca,2022,4,T4,1,0,0.0
catamarca,2023,1,T1,1,0,0.0
catamarca,2023,2,T2,3,2,0.6666666666666666
catamarca,2023,4,T4,4,1,0.25
catamarca,2024,1,T1,2,1,0.5
catamarca,2024,3,T3,1,1,1.0
chaco,2021,1,T1,1,1,1.0
chaco,2021,2,T2,1,1,1.0
chaco,2021,3,T3,5,5,1.0
chaco,2022,1,T1,2,1,0.5
chaco,2022,2,T2,1,0,0.0
chaco,2022,3,T3,3,1,0.3333333333333333
chaco,2022,4,T4,4,2,0.5
chaco,2023,1,T1,4,4,1.0
chaco,2023,2,T2,2,1,0.5
chaco,2023,3,T3,4,2,0.5
chaco,2023,4,T4,4,4,1.0
chaco,2024,1,T1,7,5,0.7142857142857143
chaco,2024,2,T2,2,0,0.0
chaco,2024,3,T3,9,5,0.5555555555555556
chaco,2024,4,T4,3,1,0.3333333333333333
chubut,2020,2,T2,3,3,1.0
chubut,2020,3,T3,3,2,0.6666666666666666
chubut,2021,4,T4,1,1,1.0
chubut,2022,2,T2,1,1,1.0
chubut,2022,3,T3,1,1,1.0
chubut,2022,4,T4,1,0,0.0
chubut,2023,1,T1,2,0,0.0
chubut,2023,2,T2,1,1,1.0
chubut,2023,3,T3,2,0,0.0
chubut,2024,2,T2,1,0,0.0
chubut,2024,3,T3,2,2,1.0
ciudad autnoma de buenos aires,2020,1,T1,3,2,0.6666666666666666
ciudad autnoma de buenos aires,2020,2,T2,4,1,0.25
ciudad autnoma de buenos aires,2020,3,T3,2,1,0.5
ciudad autnoma de buenos aires,2020,4,T4,1,1,1.0
ciudad autnoma de buenos aires,2021,1,T1,1,0,0.0
ciudad autnoma de buenos aires,2021,2,T2,3,3,1.0
ciudad autnoma de buenos aires,2021,3,T3,5,3,0.6
ciudad autnoma de buenos aires,2021,4,T4,2,0,0.0
ciudad autnoma de buenos aires,2022,1,T1,20,13,0.65
ciudad autnoma de buenos aires,2022,2,T2,22,15,0.6818181818181818
ciudad autnoma de buenos aires,2022,3,T3,17,11,0.6470588235294118
ciudad autnoma de buenos aires,2022,4,T4,23,7,0.30434782608695654
ciudad autnoma de buenos aires,2023,1,T1,18,9,0.5
ciudad autnoma de buenos aires,2023,2,T2,20,13,0.65
ciudad autnoma de buenos aires,2023,3,T3,31,16,0.5161290322580645
ciudad autnoma de buenos aires,2023,4,T4,20,13,0.65
ciudad autnoma de buenos aires,2024,1,T1,16,9,0.5625
ciudad autnoma de buenos aires,2024,2,T2,31,13,0.41935483870967744
ciudad autnoma de buenos aires,2024,3,T3,29,18,0.6206896551724138
ciudad autnoma de buenos aires,2024,4,T4,40,22,0.55
corrientes,2020,2,T2,1,1,1.0
corrientes,2020,3,T3,1,0,0.0
corrientes,2020,4,T4,1,1,1.0
corrientes,2022,2,T2,2,2,1.0
corrientes,2022,3,T3,1,0,0.0
corrientes,2022,4,T4,2,1,0.5
corrientes,2023,1,T1,1,0,0.0
corrientes,2023,2,T2,2,0,0.0
corrientes,2023,3,T3,5,2,0.4
corrientes,2023,4,T4,1,1,1.0
corrientes,2024,1,T1,7,5,0.7142857142857143
corrientes,2024,2,T2,3,2,0.6666666666666666
corrientes,2024,3,T3,3,2,0.6666666666666666
corrientes,2024,4,T4,3,3,1.0
crdoba,2020,1,T1,6,2,0.3333333333333333
crdoba,2020,2,T2,5,2,0.4
crdoba,2020,3,T3,3,2,0.6666666666666666
crdoba,2020,4,T4,2,1,0.5
crdoba,2021,2,T2,1,1,1.0
crdoba,2021,3,T3,1,0,0.0
crdoba,2022,1,T1,5,5,1.0
crdoba,2022,2,T2,3,1,0.3333333333333333
crdoba,2022,3,T3,7,5,0.7142857142857143
crdoba,2022,4,T4,10,3,0.3
crdoba,2023,1,T1,4,2,0.5
crdoba,2023,2,T2,8,4,0.5
crdoba,2023,3,T3,13,9,0.6923076923076923
crdoba,2023,4,T4,6,2,0.3333333333333333
crdoba,2024,1,T1,9,4,0.4444444444444444
crdoba,2024,2,T2,2,1,0.5
crdoba,2024,3,T3,10,5,0.5
crdoba,2024,4,T4,12,11,0.9166666666666666
entre ros,2020,1,T1,1,0,0.0
entre ros,2020,2,T2,3,2,0.6666666666666666
entre ros,2020,3,T3,3,2,0.6666666666666666
entre ros,2020,4,T4,1,1,1.0
entre ros,2021,4,T4,1,1,1.0
entre ros,2022,1,T1,2,0,0.0
entre ros,2022,2,T2,2,2,1.0
entre ros,2022,3,T3,1,1,1.0
entre ros,2022,4,T4,1,0,0.0
entre ros,2023,1,T1,3,2,0.6666666666666666
entre ros,2023,2,T2,2,1,0.5
entre ros,2023,4,T4,3,1,0.3333333333333333
entre ros,2024,1,T1,7,4,0.5714285714285714
entre ros,2024,2,T2,5,4,0.8
entre ros,2024,3,T3,3,0,0.0
formosa,2020,1,T1,1,0,0.0
formosa,2020,2,T2,2,1,0.5
formosa,2020,3,T3,1,1,1.0
formosa,2021,1,T1,1,0,0.0
formosa,2021,4,T4,1,1,1.0
formosa,2022,3,T3,3,2,0.6666666666666666
formosa,2022,4,T4,1,0,0.0
formosa,2023,3,T3,1,0,0.0
formosa,2024,1,T1,2,0,0.0
formosa,2024,2,T2,1,1,1.0
formosa,2024,3,T3,3,2,0.6666666666666666
formosa,2024,4,T4,1,0,0.0
jujuy,2020,1,T1,3,2,0.6666666666666666
jujuy,2020,2,T2,2,0,0.0
jujuy,2020,3,T3,3,2,0.6666666666666666
jujuy,2020,4,T4,1,1,1.0
jujuy,2021,1,T1,1,0,0.0
jujuy,2021,3,T3,1,1,1.0
jujuy,2022,1,T1,2,1,0.5
jujuy,2022,2,T2,2,2,1.0
jujuy,2023,1,T1,4,2,0.5
jujuy,2023,2,T2,1,0,0.0
jujuy,2023,3,T3,2,2,1.0
jujuy,2023,4,T4,1,1,1.0
jujuy,2024,1,T1,1,0,0.0
jujuy,2024,2,T2,1,1,1.0
jujuy,2024,3,T3,4,2,0.5
la pampa,2020,1,T1,1,1,1.0
la pampa,2021,1,T1,1,1,1.0
la pampa,2022,1,T1,1,1,1.0
la pampa,2023,2,T2,1,0,0.0
la pampa,2024,2,T2,1,0,0.0
la rioja,2021,4,T4,1,1,1.0
la rioja,2022,3,T3,1,1,1.0
la rioja,2023,2,T2,2,1,0.5
la rioja,2023,4,T4,2,2,1.0
la rioja,2024,1,T1,2,1,0.5
la rioja,2024,2,T2,1,0,0.0
la rioja,2024,3,T3,1,1,1.0
mendoza,2020,1,T1,3,2,0.6666666666666666
mendoza,2020,2,T2,1,0,0.0
mendoza,2020,3,T3,4,2,0.5
mendoza,2020,4,T4,1,1,1.0
mendoza,2021,1,T1,2,2,1.0
mendoza,2021,2,T2,4,4,1.0
mendoza,2021,3,T3,1,1,1.0
mendoza,2021,4,T4,2,2,1.0
mendoza,2022,1,T1,4,2,0.5
mendoza,2022,2,T2,6,6,1.0
mendoza,2022,3,T3,2,2,1.0
mendoza,2022,4,T4,1,1,1.0
mendoza,2023,1,T1,7,4,0.5714285714285714
mendoza,2023,2,T2,5,2,0.4
mendoza,2023,3,T3,4,2,0.5
mendoza,2023,4,T4,6,5,0.8333333333333334
mendoza,2024,1,T1,11,8,0.7272727272727273
mendoza,2024,2,T2,4,2,0.5
mendoza,2024,3,T3,7,2,0.2857142857142857
mendoza,2024,4,T4,5,2,0.4
misiones,2020,1,T1,1,0,0.0
misiones,2020,2,T2,1,1,1.0
misiones,2020,3,T3,2,0,0.0
misiones,2021,1,T1,1,0,0.0
misiones,2021,2,T2,1,0,0.0
misiones,2021,3,T3,2,1,0.5
misiones,2021,4,T4,2,2,1.0
misiones,2022,2,T2,3,2,0.6666666666666666
misiones,2022,3,T3,2,1,0.5
misiones,2022,4,T4,1,1,1.0
misiones,2023,1,T1,1,0,0.0
misiones,2023,2,T2,5,4,0.8
misiones,2023,3,T3,4,2,0.5
misiones,2023,4,T4,1,1,1.0
misiones,2024,1,T1,3,2,0.6666666666666666
misiones,2024,2,T2,4,2,0.5
misiones,2024,3,T3,2,1,0.5
misiones,2024,4,T4,1,1,1.0
neuqun,2020,2,T2,1,0,0.0
neuqun,2020,3,T3,1,1,1.0
neuqun,2021,1,T1,2,2,1.0
neuqun,2021,2,T2,2,2,1.0
neuqun,2022,1,T1,2,1,0.5
neuqun,2022,2,T2,3,2,0.6666666666666666
neuqun,2022,3,T3,2,1,0.5
neuqun,2022,4,T4,4,3,0.75
neuqun,2023,1,T1,5,4,0.8
neuqun,2023,2,T2,4,3,0.75
neuqun,2023,3,T3,1,0,0.0
neuqun,2024,1,T1,2,1,0.5
neuqun,2024,2,T2,3,1,0.3333333333333333
neuqun,2024,3,T3,3,1,0.3333333333333333
neuqun,2024,4,T4,4,1,0.25
ro negro,2020,3,T3,1,0,0.0
ro negro,2020,4,T4,1,0,0.0
ro negro,2022,1,T1,1,1,1.0
ro negro,2022,2,T2,1,1,1.0
ro negro,2022,3,T3,2,0,0.0
ro negro,2022,4,T4,1,0,0.0
ro negro,2023,1,T1,7,2,0.2857142857142857
ro negro,2023,2,T2,3,0,0.0
ro negro,2023,3,T3,1,0,0.0
ro negro,2023,4,T4,3,1,0.3333333333333333
ro negro,2024,1,T1,7,2,0.2857142857142857
ro negro,2024,2,T2,5,0,0.0
ro negro,2024,3,T3,8,3,0.375
ro negro,2024,4,T4,5,1,0.2
salta,2020,1,T1,1,1,1.0
salta,2020,2,T2,2,1,0.5
salta,2020,3,T3,4,1,0.25
salta,2021,1,T1,1,1,1.0
salta,2022,1,T1,4,3,0.75
salta,2022,3,T3,1,0,0.0
salta,2022,4,T4,2,1,0.5
salta,2023,1,T1,4,3,0.75
salta,2023,3,T3,7,2,0.2857142857142857
salta,2023,4,T4,2,1,0.5
salta,2024,1,T1,4,2,0.5
salta,2024,2,T2,7,3,0.42857142857142855
salta,2024,3,T3,6,3,0.5
salta,2024,4,T4,5,3,0.6
san juan,2020,4,T4,1,1,1.0
san juan,2021,3,T3,1,1,1.0
san juan,2022,1,T1,1,1,1.0
san juan,2022,3,T3,2,2,1.0
san juan,2023,1,T1,2,1,0.5
san juan,2023,2,T2,1,0,0.0
san juan,2023,3,T3,2,1,0.5
san juan,2023,4,T4,1,1,1.0
san juan,2024,2,T2,1,0,0.0
san juan,2024,3,T3,1,1,1.0
san juan,2024,4,T4,2,1,0.5
san luis,2020,1,T1,1,1,1.0
san luis,2020,4,T4,1,1,1.0
san luis,2021,1,T1,1,0,0.0
san luis,2021,2,T2,1,1,1.0
san luis,2022,1,T1,2,2,1.0
san luis,2022,3,T3,1,1,1.0
san luis,2022,4,T4,1,1,1.0
san luis,2023,1,T1,1,1,1.0
san luis,2023,3,T3,2,1,0.5
san luis,2023,4,T4,1,1,1.0
san luis,2024,2,T2,2,1,0.5
santa cruz,2021,3,T3,1,0,0.0
santa cruz,2022,3,T3,1,1,1.0
santa cruz,2023,1,T1,2,2,1.0
santa cruz,2024,1,T1,1,0,0.0
santa cruz,2024,2,T2,1,0,0.0
santa cruz,2024,3,T3,1,0,0.0
santa cruz,2024,4,T4,1,0,0.0
santa fe,2020,1,T1,3,2,0.6666666666666666
santa fe,2020,2,T2,7,3,0.42857142857142855
santa fe,2020,3,T3,5,2,0.4
santa fe,2020,4,T4,4,2,0.5
santa fe,2021,1,T1,3,3,1.0
santa fe,2021,3,T3,6,4,0.6666666666666666
santa fe,2021,4,T4,5,3,0.6
santa fe,2022,1,T1,9,6,0.6666666666666666
santa fe,2022,2,T2,6,2,0.3333333333333333
santa fe,2022,3,T3,9,5,0.5555555555555556
santa fe,2022,4,T4,4,2,0.5
santa fe,2023,1,T1,6,4,0.6666666666666666
santa fe,2023,2,T2,4,2,0.5
santa fe,2023,3,T3,8,6,0.75
santa fe,2023,4,T4,3,1,0.3333333333333333
santa fe,2024,1,T1,4,4,1.0
santa fe,2024,2,T2,7,5,0.7142857142857143
santa fe,2024,3,T3,10,4,0.4
santa fe,2024,4,T4,8,7,0.875
santiago del estero,2020,1,T1,1,0,0.0
santiago del estero,2020,2,T2,1,1,1.0
santiago del estero,2020,4,T4,1,1,1.0
santiago del estero,2021,1,T1,2,2,1.0
santiago del estero,2021,2,T2,1,1,1.0
santiago del estero,2022,1,T1,4,2,0.5
santiago del estero,2022,2,T2,2,1,0.5
santiago del estero,2022,3,T3,3,2,0.6666666666666666
santiago del estero,2022,4,T4,3,1,0.3333333333333333
santiago del estero,2023,1,T1,2,2,1.0
santiago del estero,2023,3,T3,1,0,0.0
santiago del estero,2024,2,T2,3,2,0.6666666666666666
santiago del estero,2024,3,T3,2,2,1.0
santiago del estero,2024,4,T4,1,0,0.0
tierra del fuego,2020,1,T1,1,1,1.0
tierra del fuego,2020,3,T3,2,2,1.0
tierra del fuego,2020,4,T4,1,0,0.0
tierra del fuego,2021,2,T2,1,1,1.0
tierra del fuego,2021,3,T3,1,1,1.0
tierra del fuego,2021,4,T4,1,1,1.0
tierra del fuego,2023,2,T2,1,1,1.0
tierra del fuego,2023,3,T3,3,2,0.6666666666666666
tierra del fuego,2024,1,T1,1,1,1.0
tierra del fuego,2024,3,T3,1,0,0.0
tucumn,2020,1,T1,1,1,1.0
tucumn,2020,2,T2,1,1,1.0
tucumn,2020,3,T3,1,0,0.0
tucumn,2020,4,T4,1,1,1.0
tucumn,2021,1,T1,2,2,1.0
tucumn,2022,1,T1,3,1,0.3333333333333333
tucumn,2022,2,T2,3,1,0.3333333333333333
tucumn,2022,3,T3,2,1,0.5
tucumn,2022,4,T4,6,4,0.6666666666666666
tucumn,2023,1,T1,8,3,0.375
tucumn,2023,2,T2,3,1,0.3333333333333333
tucumn,2023,3,T3,9,4,0.4444444444444444
tucumn,2023,4,T4,12,7,0.5833333333333334
tucumn,2024,1,T1,8,7,0.875
tucumn,2024,2,T2,10,3,0.3
tucumn,2024,3,T3,8,2,0.25
tucumn,2024,4,T4,6,1,0.16666666666666666
